objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,img-001.jpg,,,Reactor in Diliman,PAEC,1963-01-01,"Photo of the Philippine Research Reactor - 1 in Diliman, Quezon City in the 1960s",Philippine Research Reactor - 1; research reactor;field;carabaos;Diliman;Quezon City,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,img-002.jpg,,,Reactor control,PAEC,1963-01-01,Control panel of the Philippine Research Reactor - 1,,"Diliman, Quezon City",,,,,,,,,
coll003,img-003.jpg,,,Reactor control main,PAEC,1963-01-01,Control room of the Philippne Research Reactor - 1,,"Diliman, Quezon City",,,,,,,,,
coll004,img-004.jpg,,,Reactor pool,PAEC,1963-01-01,Fuel pool of the Philippine Research Reactor - 1,,"Diliman, Quezon City",,,,,,,,,
coll005,img-005.jpg,,,Film screening at ARC,PAEC,1963-01-01,Film screenings at Atomic Research Center,,"Diliman, Quezon City",,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,